Rank,Name,Platform,Platform Group,Year,Genre,Publisher,NA Sales,EU Sales,JP Sales,Other Sales,Global Sales
15750,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Machiteba Tengoku! Makereba Jigoku! Ryoutsuryuu Ikkakusenkin Daisakusen!,DS,Nintendo,2010,Misc,Namco Bandai Games,0,0,0.02,0,0.02
15751,Just Cause,PC,PC,2006,Action,Eidos Interactive,0,0.01,0,0,0.02
15752,Abunai: Koi no Sousa Shitsu,PSV,PS,2015,Action,Asgard,0,0,0.02,0,0.02
15753,Blazing Angels: Squadrons of WWII,PC,PC,2006,Simulation,Ubisoft,0.01,0,0,0,0.02
15754,Let's Yoga!,DS,Nintendo,2007,Misc,Konami Digital Entertainment,0,0,0.02,0,0.02
15755,Zero no Tsukaima: Muma ga Tsumugu Yokaze no Nocturne,PS2,PS,2007,Adventure,Marvelous Interactive,0,0,0.02,0,0.02
15756,Memories Off: Yubikiri no Kikou,PSP,PS,2011,Adventure,5pb,0,0,0.02,0,0.02
15757,L.G.S: Shinsetsu Houshinengi,PSP,PS,2012,Action,Idea Factory,0,0,0.02,0,0.02
15758,Battle Engine Aquila,XB,XBox,2003,Shooter,Atari,0.01,0,0,0,0.02
15759,Turbo: Super Stunt Squad,Wii,Nintendo,2013,Sports,D3Publisher,0,0.02,0,0,0.02
15760,Hurry Up Hedgehog!,DS,Nintendo,2009,Racing,O-Games,0.02,0,0,0,0.02
15761,Hands On! Tangrams,DS,Nintendo,2009,Puzzle,Storm City Games,0.02,0,0,0,0.02
15762,Puzzle Chronicles,DS,Nintendo,2010,Puzzle,Konami Digital Entertainment,0.01,0,0,0,0.02
15763,Discworld II: Mortality Bytes!,PS,PS,1996,Adventure,Psygnosis,0.01,0.01,0,0,0.02
15764,One Piece Mansion,PS,PS,2001,Action,Capcom,0.01,0.01,0,0,0.02
15765,Uchi no 3 Shimai DS,DS,Nintendo,2008,Misc,Culture Brain,0,0,0.02,0,0.02
15766,Divinity: Original Sin,PC,PC,2014,Role-Playing,Focus Home Interactive,0,0.02,0,0,0.02
15767,Soul Eater: Monotone Princess,Wii,Nintendo,2008,Action,Square Enix,0,0,0.02,0,0.02
15768,Strike Witches: Shirogane no Tsubasa,X360,XBox,2010,Strategy,CyberFront,0,0,0.02,0,0.02
15769,Big Idea's VeggieTales: LarryBoy and the Bad Apple,GBA,Nintendo,2006,Action,Crave Entertainment,0.01,0,0,0,0.02
15770,Still Life 2,PC,PC,2009,Adventure,Rondomedia,0,0.01,0,0,0.02
15771,Metal Fight Beyblade: Choujou Kessen! Big Bang Bladers,DS,Nintendo,2010,Action,Hudson Soft,0,0,0.02,0,0.02
15772,Clock Zero: Shuuen no Ichibyou - ExTime,PSV,PS,2015,Action,Idea Factory,0,0,0.02,0,0.02
15773,Moujuutsukai to Oujisama,PS2,PS,2010,Adventure,Idea Factory,0,0,0.02,0,0.02
15774,Root Infinity Rexx,PSV,PS,2015,Adventure,Idea Factory,0,0,0.02,0,0.02
15775,Cube,PSP,PS,2007,Puzzle,D3Publisher,0.02,0,0,0,0.02
15776,Shinseiki GPX Cyber Formula: Road To The INFINITY 4,PS2,PS,2007,Racing,Sunrise Interactive,0,0,0.02,0,0.02
15777,Army Men: Major Malfunction,XB,XBox,2006,Shooter,Global Star,0.01,0,0,0,0.02
15778,Dunamis 15,X360,XBox,2011,Adventure,5pb,0,0,0.02,0,0.02
15779,Sansuu Puzzle de Migaku: Gakken Otona no Shikou Sense,DS,Nintendo,2007,Misc,Gakken,0,0,0.02,0,0.02
15780,Worms World Party,PC,PC,2001,Strategy,Virgin Interactive,0,0.01,0,0,0.02
15781,Yoake Yori Ruriiro na Portable,PSP,PS,2010,Adventure,Kadokawa Shoten,0,0,0.02,0,0.02
15782,Big Bass Fishing,PS,PS,2002,Action,Take-Two Interactive,0,0,0.02,0,0.02
15783,Reine des Fleurs,PSV,PS,2015,Action,Idea Factory,0,0,0.02,0,0.02
15784,Gears of War,PC,PC,2007,Shooter,Microsoft Game Studios,0,0.01,0,0,0.02
15785,Densha de Go! Shinkansen EX: Sanyou Shinkansen-hen,Wii,Nintendo,2007,Simulation,Taito,0,0,0.02,0,0.02
15786,Namco Museum 50th Anniversary (JP sales),PS2,PS,2005,Misc,Namco Bandai Games,0,0,0.02,0,0.02
15787,Gummy Bears Magical Medallion,Wii,Nintendo,2011,Platform,Storm City Games,0.02,0,0,0,0.02
15788,Colin McRae Rally 2005,PC,PC,2004,Racing,Codemasters,0,0.01,0,0,0.02
15789,Mana Khemia 2: Ochita Gakuen to Renkinjutsushi Tachi Portable+,PSP,PS,2009,Role-Playing,Gust,0,0,0.02,0,0.02
15790,LEGO Star Wars: The Video Game,PC,PC,2005,Action,Eidos Interactive,0,0.01,0,0,0.02
15792,Dark Void,PC,PC,2010,Action,Capcom,0,0.01,0,0,0.02
15793,Chou!! Super Nep League DS,DS,Nintendo,2008,Sports,Jaleco,0,0,0.02,0,0.02
15794,Irritating Stick,PS,PS,1998,Action,Saurus,0.01,0.01,0,0,0.02
15795,WTA Tour Tennis,GBA,Nintendo,2002,Sports,Konami Digital Entertainment,0.01,0,0,0,0.02
15796,Kaleidoeve,PSV,PS,2015,Adventure,HuneX,0,0,0.02,0,0.02
15797,Judge Dredd: Dredd Vs Death,XB,XBox,2003,Shooter,Vivendi Games,0.01,0,0,0,0.02
15798,Star Trek: Legacy,PC,PC,2006,Simulation,Ubisoft,0,0.01,0,0,0.02
15799,NHL 16,X360,XBox,2015,Sports,Electronic Arts,0,0.02,0,0,0.02
15800,Wall-E,PC,PC,2008,Platform,THQ,0,0.01,0,0,0.02
15801,Simple 2000 Series Vol. 105: The Maid Fuku to Kikanjuu,PS2,PS,2006,Action,D3Publisher,0,0,0.02,0,0.02
15802,Davis Cup Tennis,GBA,Nintendo,2002,Sports,Ubisoft,0.01,0,0,0,0.02
15803,Pro Rally,GC,Nintendo,2002,Racing,Ubisoft,0.01,0,0,0,0.02
15804,XCOM 2,XOne,XBox,2016,Strategy,Take-Two Interactive,0.01,0.01,0,0,0.02
15805,Football Academy,DS,Nintendo,2009,Sports,Electronic Arts,0,0.01,0,0,0.02
15806,Kimi ni Todoke: Sodateru Omoi,DS,Nintendo,2009,Adventure,Banpresto,0,0,0.02,0,0.02
15807,Call of Duty: Modern Warfare Trilogy,X360,XBox,2016,Shooter,Activision,0.01,0.01,0,0,0.02
15808,Let's Pilates!,DS,Nintendo,2007,Misc,Konami Digital Entertainment,0.02,0,0,0,0.02
15809,Memories Off #5: Encore,PS2,PS,2007,Adventure,CyberFront,0,0,0.02,0,0.02
15810,Brave Story: Boku no Kioku to Negai,DS,Nintendo,2006,Role-Playing,Namco Bandai Games,0,0,0.02,0,0.02
15811,Zombie Hunters 2,PS2,PS,2006,Action,Essential Games,0,0,0.02,0,0.02
15812,WRC 5: FIA World Rally Championship,X360,XBox,2015,Sports,Bigben Interactive,0,0.02,0,0,0.02
15813,Custom Drive,PSP,PS,2012,Action,D3Publisher,0,0,0.02,0,0.02
15814,Ferrari: The Race Experience,Wii,Nintendo,2010,Racing,System 3 Arcade Software,0,0.01,0,0,0.02
15815,Tsuyo Kiss 2 Gakki: Swift Love,PS2,PS,2009,Adventure,Revolution (Japan),0,0,0.02,0,0.02
15816,Achtung Panzer: Kharkov 1943,PC,PC,2010,Strategy,Mamba Games,0,0.01,0,0,0.02
15817,Konductra,DS,Nintendo,2006,Puzzle,O3 Entertainment,0.02,0,0,0,0.02
15818,Samurai Jack: The Shadow of Aku,GC,Nintendo,2004,Action,Sega,0.01,0,0,0,0.02
15819,Winning Post 7 2013,PSV,PS,2013,Sports,Tecmo Koei,0,0,0.02,0,0.02
15820,Platypus,PSP,PS,2006,Shooter,Funsta,0.02,0,0,0,0.02
15821,Command & Conquer 4: Tiberian Twilight,PC,PC,2010,Strategy,Electronic Arts,0,0.01,0,0,0.02
15822,The Incredibles: Rise of the Underminer,PC,PC,2005,Action,THQ,0.01,0,0,0,0.02
15823,Winter Sports 3: The Great Tournament,X360,XBox,2010,Sports,Tradewest,0,0.01,0,0,0.02
15824,Farm Frenzy,PC,PC,2008,Strategy,Mumbo Jumbo,0.01,0,0,0,0.02
15825,Ore wa Shoujo Mangaka,PSP,PS,2012,Action,Giza10,0,0,0.02,0,0.02
15826,Busou Renkin: Youkoso Papillon Park e,PS2,PS,2007,Action,Marvelous Interactive,0,0,0.02,0,0.02
15827,A Vampyre Story,PC,PC,2008,Adventure,Crimson Cow,0,0.01,0,0,0.02
15828,Puyo Puyo Tetris,WiiU,Nintendo,2014,Puzzle,Sega,0,0,0.02,0,0.02
15829,Exhibition Volume 6,XB,XBox,2004,Misc,Microsoft Game Studios,0.01,0,0,0,0.02
15830,Oshiri Kajiri Mushi no Rhythm Lesson DS: Kawai Ongaku Kyoushitsu Kanshuu,DS,Nintendo,2008,Misc,Sega,0,0,0.02,0,0.02
15831,The Haunted: Hell's Reach,PC,PC,2011,Shooter,Visco,0.02,0,0,0,0.02
15832,Phoenix Wright: Ace Attorney Trilogy,3DS,Nintendo,2014,Adventure,Capcom,0,0,0.02,0,0.02
15833,Kuma no Pooh-San: 100 Acre no Mori no Cooking Book,DS,Nintendo,2011,Misc,Disney Interactive Studios,0,0,0.02,0,0.02
15834,LifeSigns: Surgical Unit,DS,Nintendo,2005,Simulation,JoWood Productions,0.01,0.01,0,0,0.02
15835,I Love Horses: Rider's Paradise,Wii,Nintendo,2010,Simulation,Destineer,0.02,0,0,0,0.02
15836,Kao the Kangaroo Round 2,GC,Nintendo,2005,Platform,JoWood Productions,0.01,0,0,0,0.02
15837,Majesty 2 Collection,PC,PC,2011,Strategy,Paradox Interactive,0,0.01,0,0,0.02
15838,Sniper Elite,PC,PC,2005,Shooter,MC2 Entertainment,0,0.01,0,0,0.02
15839,The Dark Hills of Cherai,PC,PC,2009,Puzzle,Unknown,0,0.01,0,0,0.02
15840,FIFA Soccer 08,PC,PC,2007,Sports,Electronic Arts,0,0.01,0,0,0.02
15841,Zoey 101: Field Trip Fiasco,DS,Nintendo,2007,Action,THQ,0.02,0,0,0,0.02
15842,Dream C Club: GoGo,PS3,PS,2014,Adventure,D3Publisher,0,0,0.02,0,0.02
15843,Battle Spirits: Hero's Soul,PSP,PS,2010,Role-Playing,Namco Bandai Games,0,0,0.02,0,0.02
15844,Usavichi: Game no Jikan,DS,Nintendo,2011,Action,Namco Bandai Games,0,0,0.02,0,0.02
15845,Pachi-Slot Higrashi no Naku Koro ni Matsuri,PS2,PS,2010,Misc,Alchemist,0,0,0.02,0,0.02
15846,Otona no Renai Shousetsu: Harlequin Selection,DS,Nintendo,2010,Misc,Nintendo,0,0,0.02,0,0.02
15847,White Album 2: Shiawase no Mukougawa,PSV,PS,2013,Adventure,Aqua Plus,0,0,0.02,0,0.02
15848,W.L.O. Sekai Renai Kikousen,X360,XBox,2010,Adventure,5pb,0,0,0.02,0,0.02
15849,Psychedelica of the Black Butterfly,PSV,PS,2015,Action,Idea Factory,0,0,0.02,0,0.02
15850,Final Fantasy XI: All-In-One Pack 2006,X360,XBox,2006,Role-Playing,Square Enix,0,0,0.02,0,0.02
15851,Joint Operations: Combined Arms,PC,PC,2009,Shooter,NovaLogic,0.01,0,0,0,0.02
15852,Poupee Girl DS 2: Elegant Mint / Sweet Pink Style,DS,Nintendo,2010,Misc,Alvion,0,0,0.02,0,0.02
15853,Winning Post 7: Maximum 2007,PS3,PS,2007,Sports,Tecmo Koei,0,0,0.02,0,0.02
15854,Monster Trux Offroad,Wii,Nintendo,2007,Racing,Popcorn Arcade,0.01,0,0,0,0.02
15855,Assault Suit Leynos,PS4,PS,2016,Shooter,Rising Star Games,0.01,0,0,0,0.02
15856,Dragon Booster,DS,Nintendo,2005,Shooter,Konami Digital Entertainment,0.02,0,0,0,0.02
15857,Germany's Next Topmodel 2011,DS,Nintendo,2011,Simulation,7G//AMES,0,0.01,0,0,0.02
15858,Drakensang: The Dark Eye,PC,PC,2009,Role-Playing,Eidos Interactive,0.01,0,0,0,0.02
15859,Storm Lover 2nd,PSP,PS,2013,Misc,D3Publisher,0,0,0.02,0,0.02
15860,Kadenz fermata//Akkord:fortissimo,PSV,PS,2014,Adventure,5pb,0,0,0.02,0,0.02
15861,DuckTales: Remastered,PC,PC,2013,Action,Capcom,0,0.01,0,0,0.02
15862,Transformers: Prime,Wii,Nintendo,2012,Action,Activision,0,0.01,0,0,0.02
15863,Contrast,PC,PC,2013,Platform,Focus Home Interactive,0,0.01,0,0,0.02
15864,Arcana Famiglia 2,PSP,PS,2013,Adventure,Comfort,0,0,0.02,0,0.02
15865,Taishou Moebius Line Vitable,PSV,PS,2016,Adventure,dramatic create,0,0,0.02,0,0.02
15866,Gaist Crusher God,3DS,Nintendo,2014,Action,Capcom,0,0,0.02,0,0.02
15867,Shinkyoku Soukai Polyphonica,PS2,PS,2007,Adventure,Prototype,0,0,0.02,0,0.02
15869,San Goku Shi DS 2,DS,Nintendo,2007,Strategy,Tecmo Koei,0,0,0.02,0,0.02
15870,Strongest Tokyo University Shogi DS,DS,Nintendo,1985,Action,Mycom,0,0,0.02,0,0.02
15871,Shin Sangoku Musou Online: Souten Ranbu,PS3,PS,2010,Action,Tecmo Koei,0,0,0.02,0,0.02
15872,Elven Legacy,PC,PC,2009,Strategy,Paradox Interactive,0.01,0,0,0,0.02
15873,V-Rally 3,XB,XBox,2003,Racing,Atari,0.01,0,0,0,0.02
15874,Full House Kiss 2,PS2,PS,2006,Adventure,Capcom,0,0,0.02,0,0.02
15875,Dead to Rights,GBA,Nintendo,2004,Shooter,Zoo Digital Publishing,0.01,0,0,0,0.02
15876,Thunder Force VI,PS2,PS,2008,Shooter,Sega,0,0,0.02,0,0.02
15877,Majesty 2: The Fantasy Kingdom Sim,PC,PC,2009,Simulation,Paradox Interactive,0.01,0,0,0,0.02
15878,Turbo: Super Stunt Squad,3DS,Nintendo,2013,Sports,D3Publisher,0,0.01,0,0,0.02
15879,Dinotopia: The Sunstone Odyssey,GC,Nintendo,2003,Action,Unknown,0.01,0,0,0,0.02
15880,Daito Giken Koushiki Pachi-Slot Simulator: Ossu! Misao + Maguro Densetsu Portable,PSP,PS,2010,Misc,Paon,0,0,0.02,0,0.02
15881,Dance! It's Your Stage,Wii,Nintendo,1999,Misc,DTP Entertainment,0,0.01,0,0,0.02
15882,PachiPara 3D,3DS,Nintendo,2011,Misc,Irem Software Engineering,0,0,0.02,0,0.02
15883,Command & Conquer Collection,PC,PC,2003,Strategy,Electronic Arts,0.01,0,0,0,0.02
15884,Kiss Bell,PSV,PS,2014,Adventure,Giga,0,0,0.02,0,0.02
15885,Earth Defense Force 2017 (old JP sales),X360,XBox,2006,Shooter,D3Publisher,0,0,0.02,0,0.02
15886,Sengoku Hime: Senran ni Mau Otometachi,PS2,PS,2009,Adventure,Yeti,0,0,0.02,0,0.02
15887,GTI Club: Supermini Festa!,Wii,Nintendo,2010,Racing,Konami Digital Entertainment,0.01,0,0,0,0.02
15888,MuvLuv Double Pack,PSV,PS,2016,Adventure,5pb,0,0,0.02,0,0.02
15889,Koihime Enbu,PS4,PS,2016,Fighting,Yeti,0,0,0.02,0,0.02
15890,Romance of the Three Kingdoms XII,WiiU,Nintendo,2012,Strategy,Tecmo Koei,0,0,0.02,0,0.02
15891,Worldwide Soccer Manager 2006,PC,PC,2004,Sports,Sega,0,0.01,0,0,0.02
15892,Sora no Otoshimono Forte: Dreamy Season,DS,Nintendo,2011,Adventure,Kadokawa Shoten,0,0,0.02,0,0.02
15893,Mission: Impossible - Operation Surma,GC,Nintendo,2004,Platform,Atari,0.01,0,0,0,0.02
15894,Trigger Man,GC,Nintendo,2004,Shooter,Crave Entertainment,0.01,0,0,0,0.02
15895,Yuu Yuu Hakusho DS: Ankoku Bujutsukai Hen,DS,Nintendo,2006,Action,Takara Tomy,0,0,0.02,0,0.02
15896,Hiiro no Kakera Portable,PSP,PS,2008,Adventure,Idea Factory,0,0,0.02,0,0.02
15897,Antz Extreme Racing,XB,XBox,2002,Racing,Empire Interactive,0.01,0,0,0,0.02
15898,Enemy Territory: Quake Wars,PC,PC,2007,Shooter,Activision,0.01,0,0,0,0.02
15899,Truck Racer,Wii,Nintendo,2009,Racing,Nordic Games,0,0.01,0,0,0.02
15900,The Sims 4: Luxury Party Stuff,PC,PC,2015,Simulation,Electronic Arts,0,0.01,0,0,0.02
15901,"Nogizaka Haruka no Himitsu Cosplay, Hajime Mashita",PS2,PS,2008,Adventure,ASCII Media Works,0,0,0.02,0,0.02
15902,Triggerheart Exelica,DC,Sega,2007,Shooter,Warashi,0,0,0.02,0,0.02
15903,Jet Impulse,DS,Nintendo,2007,Simulation,Nintendo,0,0,0.02,0,0.02
15904,Games Explosion!,GBA,Nintendo,2006,Action,THQ,0.01,0,0,0,0.02
15905,Tennis no Oji-Sama: Card Hunter,PS2,PS,2007,Strategy,Konami Digital Entertainment,0,0,0.02,0,0.02
15906,Portable Island: Tenohira Resort,PSP,PS,2006,Simulation,Namco Bandai Games,0,0,0.02,0,0.02
15907,Night Wizard the Video Game: Denial of the World,PS2,PS,2008,Adventure,5pb,0,0,0.02,0,0.02
15908,Sengoku Efuda Yuugi: Hototogisu Ran,PSP,PS,2008,Misc,Irem Software Engineering,0,0,0.02,0,0.02
15909,Tokyo Friend Park II DS,DS,Nintendo,2006,Misc,Rocket Company,0,0,0.02,0,0.02
15910,Saenai Kanojo no Sodatekata: Blessing Flowers,PSV,PS,2015,Action,5pb,0,0,0.02,0,0.02
15911,Adventure Time: The Secret of the Nameless,3DS,Nintendo,2014,Adventure,Little Orbit,0.01,0,0,0,0.02
15912,Kao the Kangaroo Round 2,PS2,PS,2005,Platform,JoWood Productions,0.01,0.01,0,0,0.02
15913,Shin Hisui no Shizuku: Hiiro no Kakera 2 Portable,PSP,PS,2010,Adventure,Idea Factory,0,0,0.02,0,0.02
15914,Robopon 2: Ring Version,GBA,Nintendo,2001,Role-Playing,Hudson Entertainment,0.01,0,0,0,0.02
15915,Evil Genius,PC,PC,2004,Strategy,Vivendi Games,0,0.01,0,0,0.02
15916,Dragon Tales: Dragon Adventures,GBA,Nintendo,2003,Platform,NewKidCo,0.01,0,0,0,0.02
15917,Moe Moe 2-ji Taisen (Ryoku) * Deluxe,PSP,PS,2008,Adventure,System Soft,0,0,0.02,0,0.02
15918,Dream Dancer,DS,Nintendo,2010,Misc,Konami,0.01,0,0,0,0.02
15919,Powerbike,DS,Nintendo,2009,Racing,Majesco Entertainment,0.01,0,0,0,0.02
15920,Violet no Atelier: Gramnad no Renkinjutsushi 2 - Gunjou no Omoide,PSP,PS,2011,Role-Playing,Gust,0,0,0.02,0,0.02
15921,Magic Encyclopedia: Moonlight,DS,Nintendo,2010,Misc,Foreign Media Games,0,0.01,0,0,0.02
15922,Rayman 10th Anniversary,GBA,Nintendo,2005,Platform,Ubisoft,0.01,0,0,0,0.02
15923,Elminage II DS Remix: Sousei no Megami to Unmai no Daichi,DS,Nintendo,2010,Role-Playing,Starfish,0,0,0.02,0,0.02
15924,Online Chess Kingdoms,PSP,PS,2006,Misc,Konami Digital Entertainment,0.01,0,0,0,0.02
15925,Gaku ? Ou: The Royal Seven Stars,PSP,PS,2012,Role-Playing,Alchemist,0,0,0.02,0,0.02
15926,Pillars of Eternity,PC,PC,2014,Role-Playing,Paradox Interactive,0,0.01,0,0,0.02
15927,RollerCoaster Tycoon: Gold Edition,PC,PC,2002,Strategy,Infogrames,0.01,0,0,0,0.02
15928,Professional Farmer 2016,PS4,PS,2015,Action,Namco Bandai Games,0,0.01,0,0,0.02
15929,Storm Lover Kai!!,PSP,PS,2012,Action,D3Publisher,0,0,0.02,0,0.02
15930,Race Driver: Create & Race,DS,Nintendo,2007,Racing,Codemasters,0.01,0,0,0,0.02
15931,Nurarihyon no Mago: Hyakki Ryouran Taisen,PS3,PS,2011,Fighting,Konami Digital Entertainment,0,0,0.02,0,0.02
15932,Minna to Issho,PSV,PS,2011,Misc,Sony Computer Entertainment,0,0,0.02,0,0.02
15933,Harukanaru Toki no Naka de 6,PSP,PS,2015,Action,Tecmo Koei,0,0,0.02,0,0.02
15934,Hummer Badlands,XB,XBox,2006,Racing,Global Star,0.01,0,0,0,0.02
15935,I Doll U,PSV,PS,2015,Adventure,Idea Factory,0,0,0.02,0,0.02
15936,Enkaku Sousa: Sana e no 23 Hiai,PSP,PS,2009,Adventure,Sony Computer Entertainment,0,0,0.02,0,0.02
15937,Katekyoo Hitman Reborn! DS: Mafia Daishuugou Bongole Festival,DS,Nintendo,2008,Action,Takara Tomy,0,0,0.02,0,0.02
15938,Pippa Funnell 2: Farm Adventures,DS,Nintendo,2007,Simulation,Ubisoft,0,0.01,0,0,0.02
15939,Iron Soldier 3,PS,PS,1999,Simulation,Telegames,0.01,0.01,0,0,0.02
15940,Oyaku de Asoberu DS Ehon: Ukkari Penelope,DS,Nintendo,2008,Simulation,Tecmo Koei,0,0,0.02,0,0.02
15941,Space Invaders Revolution,DS,Nintendo,2005,Shooter,Rising Star Games,0.01,0,0,0,0.02
15942,Barbie and Her Sisters Puppy Rescue,PS3,PS,2015,Action,Namco Bandai Games,0,0.01,0,0,0.02
15943,Worms: WMD,PS4,PS,2016,Action,Sold Out,0.01,0.01,0,0,0.02
15944,Myst,PSP,PS,2006,Adventure,Midway Games,0,0.01,0,0,0.02
15945,UNO 52,DS,Nintendo,2006,Misc,Zoo Digital Publishing,0.01,0,0,0,0.02
15946,Tiger & Bunny: Hero's Day,PSP,PS,2013,Action,D3Publisher,0,0,0.02,0,0.02
15947,Storm Lover 2nd V,PSV,PS,2016,Adventure,D3Publisher,0,0,0.02,0,0.02
15948,Grisaia no Meikyuu: Le Labyrinthe de la Grisaia,PSV,PS,2014,Adventure,Prototype,0,0,0.02,0,0.02
15949,Touhou Genso Rondo: Bullet Ballet,PS4,PS,2016,Shooter,Nippon Ichi Software,0.01,0,0,0,0.02
15950,Accel World: Kasoku no Chouten,PS3,PS,2013,Adventure,Namco Bandai Games,0,0,0.02,0,0.02
15951,Poupee Girl DS,DS,Nintendo,2009,Misc,Alvion,0,0,0.02,0,0.02
15952,Pachinko Kaou: Misora Hibari,PS2,PS,2007,Misc,Hackberry,0,0,0.02,0,0.02
15953,Just Cause,PS2,PS,2006,Action,Eidos Interactive,0.01,0.01,0,0,0.02
15954,Choro Q,PS2,PS,2003,Racing,Zoo Digital Publishing,0.01,0.01,0,0,0.02
15955,Narcissus: Moshimo Ashita ga Runara,PSP,PS,2010,Adventure,Kadokawa Shoten,0,0,0.02,0,0.02
15956,Girl Friend Beta: Kimi to Sugosu Natsuyasumi,PSV,PS,2015,Action,Namco Bandai Games,0,0,0.02,0,0.02
15957,IHRA Drag Racing: Sportsman Edition,XB,XBox,2006,Racing,Bethesda Softworks,0.01,0,0,0,0.02
15958,"Sharin no Kuni, Himawari no Shoujo",X360,XBox,2010,Adventure,5pb,0,0,0.02,0,0.02
15959,Guild Wars: Factions,PC,PC,2006,Role-Playing,NCSoft,0,0.01,0,0,0.02
15960,Simple DS Series Vol. 42: The Haioku Byoutou,DS,Nintendo,2008,Adventure,D3Publisher,0,0,0.02,0,0.02
15961,Drone Tactics,DS,Nintendo,2007,Strategy,Success,0.01,0,0,0,0.02
15962,Technic Beat,PS2,PS,2002,Misc,Arika,0.01,0.01,0,0,0.02
