Rank,Name,Platform,Platform Group,Year,Genre,Publisher,NA Sales,EU Sales,JP Sales,Other Sales,Global Sales
16390,Darkened Skye,GC,Nintendo,2002,Adventure,TDK Mediactive,0.01,0,0,0,0.01
16391,Sakura-Sou no Pet na Kanojo,PSV,PS,2013,Adventure,Kadokawa Games,0,0,0.01,0,0.01
16392,WSC REAL 09: World Snooker Championship,X360,XBox,2009,Sports,Deep Silver,0,0.01,0,0,0.01
16393,World Snooker Championship 2007,X360,XBox,2007,Sports,Sega,0,0.01,0,0,0.01
16394,Handball 16,X360,XBox,2015,Sports,Bigben Interactive,0,0.01,0,0,0.01
16395,Wand of Fortune: Mirai e no Prologue,PS2,PS,2010,Adventure,Idea Factory,0,0,0.01,0,0.01
16396,Alone in the Dark,PC,PC,2008,Adventure,Atari,0,0.01,0,0,0.01
16397,Nova Usagi no Game de Ryuugaku!? DS,DS,Nintendo,2007,Misc,Konami Digital Entertainment,0,0,0.01,0,0.01
16398,LMA Manager 2007,X360,XBox,2006,Sports,Codemasters,0,0.01,0,0,0.01
16399,San-X: Chara Sagashi Land,DS,Nintendo,2007,Action,MTO,0,0,0.01,0,0.01
16400,Heart no Kuni no Alice,PSP,PS,2009,Adventure,Prototype,0,0,0.01,0,0.01
16401,Petz: Hamsterz Life 2,GBA,Nintendo,2007,Misc,Ubisoft,0.01,0,0,0,0.01
16402,The Technomancer,PC,PC,2016,Role-Playing,Focus Home Interactive,0,0.01,0,0,0.01
16403,Pro Evolution Soccer 2010,PC,PC,2009,Sports,Konami Digital Entertainment,0,0.01,0,0,0.01
16404,Memories Off,PSP,PS,2008,Adventure,5pb,0,0,0.01,0,0.01
16405,Tenchu San Portable,PSP,PS,2009,Action,From Software,0,0,0.01,0,0.01
16406,Ratchet & Clank: Full Frontal Assault,PSV,PS,2012,Adventure,Sony Computer Entertainment,0.01,0,0,0,0.01
16407,Vitamin X,PS2,PS,2007,Adventure,D3Publisher,0,0,0.01,0,0.01
16408,The Wild West,DS,Nintendo,2007,Action,Majesco Entertainment,0.01,0,0,0,0.01
16409,The Amazing Spider-Man 2 (2014),PC,PC,2014,Action,Activision,0,0.01,0,0,0.01
16410,Saint Seiya Omega: Ultimate Cosmo,PSP,PS,2012,Fighting,Namco Bandai Games,0,0,0.01,0,0.01
16411,Sega Rally Revo,PC,PC,2007,Racing,Sega,0,0.01,0,0,0.01
16412,"Element Girl: Love, Fashion and Friends",DS,Nintendo,2008,Adventure,DTP Entertainment,0,0.01,0,0,0.01
16413,"Sakigake!! Otokojuku - Nihon yo, Kore ga Otoko Dearu!",PS3,PS,2014,Fighting,Namco Bandai Games,0,0,0.01,0,0.01
16414,Teenage Mutant Ninja Turtles (3DS),3DS,Nintendo,2013,Action,Activision,0.01,0,0,0,0.01
16415,Time Leap,X360,XBox,2009,Adventure,Prototype,0,0,0.01,0,0.01
16416,The Godfather (JP sales),X360,XBox,2006,Action,Electronic Arts,0,0,0.01,0,0.01
16417,thinkSMART: Chess for Kids,DS,Nintendo,2011,Misc,Mentor Interactive,0.01,0,0,0,0.01
16418,World Heroes Anthology,PS2,PS,2007,Fighting,Ignition Entertainment,0,0,0.01,0,0.01
16419,Chaos;Child,PS3,PS,2015,Adventure,5pb,0,0,0.01,0,0.01
16420,th!nk Logic Trainer,Wii,Nintendo,2009,Puzzle,Conspiracy Entertainment,0.01,0,0,0,0.01
16421,"Tennis no Oji-Sama: Doubles no Oji-Sama - Boys, Be Glorious!",DS,Nintendo,2009,Sports,Konami Digital Entertainment,0,0,0.01,0,0.01
16422,Routes PE,PS2,PS,2007,Adventure,Aqua Plus,0,0,0.01,0,0.01
16423,Winning Eleven: Pro Evolution Soccer 2007,PC,PC,2006,Sports,Konami Digital Entertainment,0,0.01,0,0,0.01
16424,Uchida Yasuou Mystery: Meitantei Senken Mitsuhiko Series: Fukutoshin Renzoku Satsujin Jiken,DS,Nintendo,2009,Adventure,D3Publisher,0,0,0.01,0,0.01
16425,Railfan,PS3,PS,2006,Simulation,Ongakukan,0,0,0.01,0,0.01
16426,SoniPro,3DS,Nintendo,2014,Adventure,imageepoch Inc.,0,0,0.01,0,0.01
16427,Real Crimes: The Unicorn Killer,DS,Nintendo,2011,Puzzle,Unknown,0,0.01,0,0,0.01
16428,Akatsuki no Goei Trinity,PSP,PS,2012,Adventure,5pb,0,0,0.01,0,0.01
16429,ESPN NBA 2Night 2002,XB,XBox,2002,Sports,Konami Digital Entertainment,0.01,0,0,0,0.01
16430,Virtua Quest,GC,Nintendo,2004,Role-Playing,Unknown,0.01,0,0,0,0.01
16431,Aladdin Magic Racer,Wii,Nintendo,2011,Racing,Big Ben Interactive,0.01,0,0,0,0.01
16432,Goat Simulator,XOne,XBox,2016,Simulation,Koch Media,0,0.01,0,0,0.01
16433,Golden Time: Vivid Memories,PSV,PS,2014,Adventure,ASCII Media Works,0,0,0.01,0,0.01
16434,Kamigami no Asobi InFinite,PSV,PS,2016,Adventure,Broccoli,0,0,0.01,0,0.01
16435,Shinseiki Evangelion: Koutetsu no Girlfriend 2nd Portable,PSP,PS,2009,Adventure,CyberFront,0,0,0.01,0,0.01
16436,Clive Barker's Jericho,PC,PC,2007,Shooter,Codemasters,0,0.01,0,0,0.01
16437,Tenjin Ranman: Happy GO Lucky!!,PSP,PS,2010,Adventure,Russel,0,0,0.01,0,0.01
16438,Getsuei Gakuen: kou,PSV,PS,2013,Adventure,Arc System Works,0,0,0.01,0,0.01
16439,Worms 2,PC,PC,1997,Strategy,Microprose,0,0.01,0,0,0.01
16440,The Cages: Pro Style Batting Practice,Wii,Nintendo,2010,Sports,Konami Digital Entertainment,0.01,0,0,0,0.01
16441,Brothers Conflict: Precious Baby,PSV,PS,2017,Action,Idea Factory,0,0,0.01,0,0.01
16442,Shin Sangoku Musou 4 Special,X360,XBox,2005,Action,Tecmo Koei,0,0,0.01,0,0.01
16443,Bullet Soul: Tama Tamashii,X360,XBox,2011,Shooter,5pb,0,0,0.01,0,0.01
16444,G1 Jockey 4 2007,PS2,PS,2007,Sports,Tecmo Koei,0,0,0.01,0,0.01
16445,Colin McRae Rally 2005 plus,PSP,PS,2005,Racing,Codemasters,0,0,0.01,0,0.01
16446,Heart no Kuni no Alice: Wonderful Twin World,PSP,PS,2014,Adventure,Quinrose,0,0,0.01,0,0.01
16447,Madagascar: Escape 2 Africa,PC,PC,2008,Action,Activision,0.01,0,0,0,0.01
16448,Wade Hixton's Counter Punch,GBA,Nintendo,2004,Sports,"Destination Software, Inc",0.01,0,0,0,0.01
16449,Junjou Romanchika: Koi no Doki Doki Daisakusen,PS2,PS,2008,Adventure,Marvelous Interactive,0,0,0.01,0,0.01
16450,Legacy of Kain: Defiance,PC,PC,2003,Action,Eidos Interactive,0,0.01,0,0,0.01
16451,Assassin's Creed Chronicles,XOne,XBox,2016,Action,Ubisoft,0,0.01,0,0,0.01
16452,King's Bounty: Armored Princess,PC,PC,2009,Role-Playing,1C Company,0,0.01,0,0,0.01
16453,Hyperdimension Neptunia mk2,PS3,PS,2011,Action,Nippon Ichi Software,0,0.01,0,0,0.01
16454,Shin Koihime Musou: Otome Taisen * Sangokushi Engi,PS3,PS,2014,Adventure,Views,0,0,0.01,0,0.01
16455,Rugby League Live 3,XOne,XBox,2015,Action,Tru Blu Entertainment,0,0.01,0,0,0.01
16456,Winx Club: Saving Alfea,3DS,Nintendo,2014,Action,Namco Bandai Games,0,0.01,0,0,0.01
16457,Heart no Kuni no Alice,PS2,PS,2008,Adventure,Prototype,0,0,0.01,0,0.01
16458,Shijyou Saikyou no Deshi Kenichi: Gekitou! Ragnarok Hachikengou,PS2,PS,2007,Fighting,Capcom,0,0,0.01,0,0.01
16459,Art Academy: Home Studio,WiiU,Nintendo,2015,Misc,Nintendo,0,0,0.01,0,0.01
16460,Juggler DS,DS,Nintendo,2008,Misc,Commseed,0,0,0.01,0,0.01
16461,Katekyoo Hitman Reborn! Kindan no Yami no Delta,Wii,Nintendo,2008,Action,Marvelous Interactive,0,0,0.01,0,0.01
16462,Rugby World Cup 2015,PC,PC,2015,Sports,Ubisoft,0,0.01,0,0,0.01
16463,"Horse Life 4: My Horse, My Friend, My Champion",3DS,Nintendo,2015,Action,Unknown,0,0.01,0,0,0.01
16464,Razor Freestyle Scooter,GBA,Nintendo,2001,Sports,Ubisoft,0.01,0,0,0,0.01
16465,Outdoors Unleashed: Alaska 3D,3DS,Nintendo,2011,Sports,Mastiff,0.01,0,0,0,0.01
16466,Vitamin Y,DS,Nintendo,2008,Adventure,D3Publisher,0,0,0.01,0,0.01
16467,Egg Mania: Eggstreme Madness,GC,Nintendo,2002,Puzzle,Kemco,0.01,0,0,0,0.01
16468,Help Wanted: 50 Wacky Jobs (jp sales),Wii,Nintendo,2008,Simulation,Hudson Soft,0,0.01,0.01,0,0.01
16469,Magicians Academy,PS2,PS,2007,Role-Playing,Enterbrain,0,0,0.01,0,0.01
16470,Memories Off #5: Togireta Film,PSP,PS,2009,Adventure,5pb,0,0,0.01,0,0.01
16471,Exstetra,3DS,Nintendo,2013,Role-Playing,FuRyu,0,0,0.01,0,0.01
16472,Lucian Bee's: Resurrection Supernova,PS2,PS,2009,Adventure,5pb,0,0,0.01,0,0.01
16473,Amnesia Later,PSV,PS,2014,Misc,Idea Factory,0,0,0.01,0,0.01
16474,MotoGP 15,X360,XBox,2015,Racing,Milestone S.r.l.,0,0.01,0,0,0.01
16475,Azure Striker Gunvolt: Striker Pack,3DS,Nintendo,2016,Action,Inti Creates,0,0,0.01,0,0.01
16476,Captain Rainbow,Wii,Nintendo,2008,Adventure,Nintendo,0,0,0.01,0,0.01
16477,Total War Attila: Tyrants & Kings,PC,PC,2016,Strategy,Koch Media,0,0.01,0,0,0.01
16478,Space Raiders,GC,Nintendo,2003,Shooter,Taito,0.01,0,0,0,0.01
16479,DoDonPachi Daifukkatsu: Black Label,X360,XBox,2011,Shooter,Cave,0,0,0.01,0,0.01
16480,"Shinobi, Koi Utsutsu: Setsugetsuka Koi Emaki",PSV,PS,2015,Action,Idea Factory,0,0,0.01,0,0.01
16481,Ishin no Arashi: Shippuu Ryuumeden,DS,Nintendo,2010,Strategy,Tecmo Koei,0,0,0.01,0,0.01
16482,Agatha Christie: Peril at End House,PC,PC,2009,Adventure,JoWood Productions,0,0.01,0,0,0.01
16483,Muv-Luv Alternative,PS3,PS,2012,Simulation,5pb,0,0,0.01,0,0.01
16484,Dengeki Gakuen RPG: Cross of Venus Special,DS,Nintendo,2011,Role-Playing,ASCII Media Works,0,0,0.01,0,0.01
16485,Dragon Ball Z for Kinect,X360,XBox,2012,Fighting,Namco Bandai Games,0.01,0,0,0,0.01
16486,Hospital Tycoon,PC,PC,2007,Strategy,Codemasters,0,0.01,0,0,0.01
16487,Smart Boy's Winter Wonderland,DS,Nintendo,2008,Misc,UFO Interactive,0.01,0,0,0,0.01
16488,Koi Sentai Love & Peace the P.S.P: Power Zenkai! Special Youso Tenkomori de Portable Ka Daisakusen de Aru!,PSP,PS,2012,Action,Broccoli,0,0,0.01,0,0.01
16489,Case Closed: One Truth Prevails,Wii,Nintendo,2007,Adventure,Nobilis,0,0,0.01,0,0.01
16490,Slotter Mania P: Tetsuya Shinjuku vs Ueno,PSP,PS,2010,Misc,Dorart,0,0,0.01,0,0.01
16491,Bomberman,Wii,Nintendo,2008,Puzzle,Hudson Entertainment,0,0,0.01,0,0.01
16492,Micro Machines V4,PS2,PS,2006,Racing,Codemasters,0.01,0,0,0,0.01
16493,SBK Superbike World Championship,PSP,PS,2008,Racing,Black Bean Games,0.01,0,0,0,0.01
16494,Summer Athletics,PC,PC,2008,Sports,DTP Entertainment,0,0.01,0,0,0.01
16495,Daito Giken Koushiki Pachi-Slot Simulator: 24 - Twenty-Four,PS2,PS,2008,Misc,Paon,0,0,0.01,0,0.01
16496,The Smurfs,3DS,Nintendo,2011,Action,Unknown,0,0.01,0,0,0.01
16497,Legends of Oz: Dorothy's Return,3DS,Nintendo,2014,Puzzle,No release info found for 'Dorothy Gale'.,0,0.01,0,0,0.01
16498,Unending Bloody Call,PSP,PS,2012,Action,Asgard,0,0,0.01,0,0.01
16499,Shutsugeki! Otometachi no Senjou 2: Ikusabana no Kizuna,PSP,PS,2011,Strategy,System Soft,0,0,0.01,0,0.01
16500,Snood 2: On Vacation,GBA,Nintendo,2005,Puzzle,Zoo Digital Publishing,0.01,0,0,0,0.01
16501,The Land Before Time: Into the Mysterious Beyond,GBA,Nintendo,2006,Platform,Game Factory,0.01,0,0,0,0.01
16502,Irotoridori no Sekai: World's End Re-Birth,PSV,PS,2015,Action,HuneX,0,0,0.01,0,0.01
16503,Satomi Hakkenden: Hachi Tamanoki,PSP,PS,2014,Adventure,Quinrose,0,0,0.01,0,0.01
16504,"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",PC,PC,2010,Shooter,Activision,0.01,0,0,0,0.01
16505,Naraku no Shiro,PS2,PS,2008,Adventure,Nippon Ichi Software,0,0,0.01,0,0.01
16506,Shinigami to Shoujo,PSP,PS,2011,Adventure,Takuyo,0,0,0.01,0,0.01
16507,Mystereet,PS2,PS,2006,Adventure,Yeti,0,0,0.01,0,0.01
16508,Rabbids Invasion: The Interactive TV Show,XOne,XBox,2014,Misc,Ubisoft,0,0.01,0,0,0.01
16509,Samurai Shodown: Warrios Rage,PS,PS,1999,Fighting,SNK,0.01,0,0,0,0.01
16510,Romeo Vs. Juliet,PSP,PS,2013,Adventure,Quinrose,0,0,0.01,0,0.01
16511,The Rise of the Argonauts,PC,PC,2008,Role-Playing,Codemasters,0,0.01,0,0,0.01
16512,Trine,PC,PC,2009,Action,Nobilis,0,0.01,0,0,0.01
16513,Palais de Reine,PS2,PS,2007,Strategy,Interchannel-Holon,0,0,0.01,0,0.01
16514,Pony Friends 2,PC,PC,2009,Simulation,Eidos Interactive,0,0.01,0,0,0.01
16515,Balloon Pop 2,3DS,Nintendo,2012,Puzzle,UFO Interactive,0.01,0,0,0,0.01
16516,Deal or No Deal,PC,PC,2006,Misc,Focus Home Interactive,0,0.01,0,0,0.01
16517,National Geographic Panda (JP sales),DS,Nintendo,2008,Simulation,Ubisoft,0,0,0.01,0,0.01
16518,Knights in the Nightmare: DHE Series Special Pack,DS,Nintendo,2008,Role-Playing,Sting,0,0,0.01,0,0.01
16519,DJ Max Technika Tune,PSV,PS,2012,Misc,CyberFront,0,0,0.01,0,0.01
16520,Teenage Mutant Ninja Turtles,Wii,Nintendo,2007,Action,Konami Digital Entertainment,0,0.01,0,0,0.01
16521,Crossroad Crisis,PS,PS,2000,Puzzle,Success,0.01,0,0,0,0.01
16522,Bakumatsu Rock: Ultra Soul,PSP,PS,2014,Misc,Marvelous Interactive,0,0,0.01,0,0.01
16523,Tengai Makyo: Dai Yon no Mokushiroku,PSP,PS,2006,Role-Playing,Hudson Soft,0,0,0.01,0,0.01
16524,Akatsuki no Goei Trinity,PS3,PS,2012,Adventure,5pb,0,0,0.01,0,0.01
16525,Karnaaj Rally,GBA,Nintendo,2003,Racing,Jaleco,0.01,0,0,0,0.01
16526,Style Book: Cinnamoroll,DS,Nintendo,2006,Misc,Namco Bandai Games,0,0,0.01,0,0.01
16527,Shirogane no Soleil: Contract to the Future - Mirai e no Keiyaku,PS2,PS,2008,Adventure,Russel,0,0,0.01,0,0.01
16528,Blazer Drive,DS,Nintendo,2008,Role-Playing,Sega,0,0,0.01,0,0.01
16529,Onigokko! Portable,PSP,PS,2013,Adventure,Alchemist,0,0,0.01,0,0.01
16530,Hoshizora no Comic Garden,DS,Nintendo,2008,Adventure,D3Publisher,0,0,0.01,0,0.01
16531,Kiniro no Corda 3,3DS,Nintendo,2015,Adventure,Tecmo Koei,0,0,0.01,0,0.01
16532,Hirameki Action: Chibikko Wagyan no Daiki na Bouken,DS,Nintendo,2009,Action,Namco Bandai Games,0,0,0.01,0,0.01
16533,Sébastien Loeb Rally Evo,XOne,XBox,2016,Racing,Milestone S.r.l,0,0.01,0,0,0.01
16534,Hitman (2016),XOne,XBox,2016,Action,Square Enix,0,0.01,0,0,0.01
16535,STORM: Frontline Nation,PC,PC,2011,Strategy,Unknown,0,0.01,0,0,0.01
16536,Metal Gear Solid HD Edition,X360,XBox,2011,Action,Konami Digital Entertainment,0,0,0.01,0,0.01
16537,Time Travelers,PSP,PS,2012,Adventure,Level 5,0,0,0.01,0,0.01
16538,Mushi Bugyou,3DS,Nintendo,2013,Action,Namco Bandai Games,0,0,0.01,0,0.01
16539,Patrician IV: Gold Edition,PC,PC,2011,Misc,Kalypso Media,0,0.01,0,0,0.01
16540,Transformers: Fall of Cybertron,PC,PC,2012,Action,Activision,0.01,0,0,0,0.01
16541,Sea Monsters: A Prehistoric Adventure,DS,Nintendo,2007,Adventure,DSI Games,0.01,0,0,0,0.01
16542,Spore Galactic Adventures,PC,PC,2009,Strategy,Electronic Arts,0,0.01,0,0,0.01
16543,15 Days,PC,PC,2009,Adventure,DTP Entertainment,0,0.01,0,0,0.01
16544,Battle Fantasia,PS3,PS,2008,Fighting,505 Games,0,0,0.01,0,0.01
16545,Mario & Luigi: Paper Jam & Mario Kart 7 Double Pack,3DS,Nintendo,2015,Misc,Nintendo,0,0,0.01,0,0.01
16546,Driving Simulator 2011,PC,PC,2011,Racing,Sony Computer Entertainment,0,0.01,0,0,0.01
16547,Imagine Figure Skater (JP sales),DS,Nintendo,2007,Sports,Ubisoft,0,0,0.01,0,0.01
16548,The Treasures of Mystery Island 3 Pack - Save Mystery Island!,PC,PC,2011,Puzzle,Unknown,0.01,0,0,0,0.01
16549,Hyakki Yagyou Kaidan Romance,PSP,PS,2012,Action,Quinrose,0,0,0.01,0,0.01
16550,Bookworm Deluxe,PC,PC,2006,Puzzle,PopCap Games,0.01,0,0,0,0.01
16551,Hakuoki: Reimeiroku - Omouhase Kara,PSV,PS,2015,Action,Idea Factory,0,0,0.01,0,0.01
16552,E.T. The Extra-Terrestrial,GBA,Nintendo,2001,Action,NewKidCo,0.01,0,0,0,0.01
16553,God Eater Off Shot: Tachibana Sakuya-hen Twin Pack & Animation Vol.7,PS4,PS,2016,Action,Namco Bandai Games,0,0,0.01,0,0.01
16554,Sweet Honey Coming,PS2,PS,2009,Adventure,Kadokawa Shoten,0,0,0.01,0,0.01
16555,Mahou Sensei Negima!? Neo-Pactio Fight!!,Wii,Nintendo,2007,Fighting,Marvelous Interactive,0,0,0.01,0,0.01
16556,Bound By Flame,X360,XBox,2014,Role-Playing,Focus Home Interactive,0,0.01,0,0,0.01
16557,Psychic Detective,PS,PS,1995,Adventure,Electronic Arts,0.01,0,0,0,0.01
16558,Codename: Panzers Complete Collection,PC,PC,2016,Strategy,Nordic Games,0,0.01,0,0,0.01
16559,Super Robot Taisen: Original Generation,GBA,Nintendo,2002,Role-Playing,Banpresto,0.01,0,0,0,0.01
16560,Dramatical Murder Re:code,PSV,PS,2014,Adventure,Nitroplus,0,0,0.01,0,0.01
16561,Pro Evolution Soccer 2008,PC,PC,2007,Sports,Konami Digital Entertainment,0,0.01,0,0,0.01
16562,Sugar + Spice! Anoko no Suteki na Nanimokamo,PS2,PS,2008,Adventure,Alchemist,0,0,0.01,0,0.01
16563,Hanasaku Manimani,PSV,PS,2014,Adventure,5pb,0,0,0.01,0,0.01
16564,Kanokon: Esuii,PS2,PS,2008,Adventure,5pb,0,0,0.01,0,0.01
16565,Mighty No. 9,XOne,XBox,2016,Platform,Deep Silver,0.01,0,0,0,0.01
16566,Mortal Kombat: Deadly Alliance,GBA,Nintendo,2002,Fighting,Midway Games,0.01,0,0,0,0.01
16567,Original Frisbee Disc Sports: Ultimate & Golf,DS,Nintendo,2007,Action,"Destination Software, Inc",0.01,0,0,0,0.01
16568,Teslagrad,PSV,PS,2015,Platform,Rain Games,0,0.01,0,0,0.01
16569,End of Nations,PC,PC,2012,Strategy,Trion Worlds,0.01,0,0,0,0.01
16570,Fujiko F. Fujio Characters: Great Assembly! Slightly Fantastic Slapstick Party,3DS,Nintendo,2014,Action,Namco Bandai Games,0,0,0.01,0,0.01
16571,XI Coliseum,PSP,PS,2006,Puzzle,Sony Computer Entertainment,0,0,0.01,0,0.01
16572,Resident Evil 4 HD,XOne,XBox,2016,Shooter,Capcom,0.01,0,0,0,0.01
16573,Farming 2017 - The Simulation,PS4,PS,2016,Simulation,UIG Entertainment,0,0.01,0,0,0.01
16574,Grisaia no Kajitsu: La Fruit de la Grisaia,PSP,PS,2013,Adventure,Prototype,0,0,0.01,0,0.01
16575,Scarlett: Nichijou no Kyoukaisen,PS2,PS,2008,Adventure,Kadokawa Shoten,0,0,0.01,0,0.01
16576,Mini Desktop Racing,Wii,Nintendo,2007,Racing,Popcorn Arcade,0.01,0,0,0,0.01
16577,Yattaman Wii: BikkuriDokkiri Machine de Mou Race da Koron,Wii,Nintendo,2008,Racing,Takara Tomy,0,0,0.01,0,0.01
16578,Neo Angelique Special,PSP,PS,2008,Adventure,Tecmo Koei,0,0,0.01,0,0.01
16579,Rugby Challenge 3,XOne,XBox,2016,Sports,Alternative Software,0,0.01,0,0,0.01
16580,Damnation,PC,PC,2009,Shooter,Codemasters,0,0.01,0,0,0.01
16581,Outdoors Unleashed: Africa 3D,3DS,Nintendo,2011,Sports,Mastiff,0.01,0,0,0,0.01
16582,PGA European Tour,N64,Nintendo,2000,Sports,Infogrames,0.01,0,0,0,0.01
16583,Real Rode,PS2,PS,2008,Adventure,Kadokawa Shoten,0,0,0.01,0,0.01
16584,Fit & Fun,Wii,Nintendo,2011,Sports,Unknown,0,0.01,0,0,0.01
16585,Planet Monsters,GBA,Nintendo,2001,Action,Titus,0.01,0,0,0,0.01
16586,Carmageddon 64,N64,Nintendo,1999,Action,Virgin Interactive,0.01,0,0,0,0.01
16587,Bust-A-Move 3000,GC,Nintendo,2003,Puzzle,Ubisoft,0.01,0,0,0,0.01
16588,Breach,PC,PC,2011,Shooter,Destineer,0.01,0,0,0,0.01
16589,Secret Files 2: Puritas Cordis,DS,Nintendo,2009,Adventure,Deep Silver,0,0.01,0,0,0.01
16590,Mezase!! Tsuri Master DS,DS,Nintendo,2009,Sports,Hudson Soft,0,0,0.01,0,0.01
16591,Mega Brain Boost,DS,Nintendo,2008,Puzzle,Majesco Entertainment,0.01,0,0,0,0.01
16592,Chou Ezaru wa Akai Hana: Koi wa Tsuki ni Shirube Kareru,PSV,PS,2016,Action,dramatic create,0,0,0.01,0,0.01
16593,Eiyuu Densetsu: Sora no Kiseki Material Collection Portable,PSP,PS,2007,Role-Playing,Falcom Corporation,0,0,0.01,0,0.01
16594,Myst IV: Revelation,PC,PC,2004,Adventure,Ubisoft,0.01,0,0,0,0.01
16595,Plushees,DS,Nintendo,2008,Simulation,Destineer,0.01,0,0,0,0.01
16596,Woody Woodpecker in Crazy Castle 5,GBA,Nintendo,2002,Platform,Kemco,0.01,0,0,0,0.01
16597,Men in Black II: Alien Escape,GC,Nintendo,2003,Shooter,Infogrames,0.01,0,0,0,0.01
16598,SCORE International Baja 1000: The Official Game,PS2,PS,2008,Racing,Activision,0,0,0,0,0.01
16599,Know How 2,DS,Nintendo,2010,Puzzle,7G//AMES,0,0.01,0,0,0.01
16600,Spirits & Spells,GBA,Nintendo,2003,Platform,Wanadoo,0.01,0,0,0,0.01
